seed,arrival_rate,service_rate,queue_capacity,queue_length,probability
20260626,7.5,10.0,infinite,0,0.5152785827782813
20260626,7.5,10.0,infinite,1,0.1477677707052166
20260626,7.5,10.0,infinite,2,0.09880659689604628
20260626,7.5,10.0,infinite,3,0.07373761881921359
20260626,7.5,10.0,infinite,4,0.059228916967723554
20260626,7.5,10.0,infinite,5,0.03875387981277553
20260626,7.5,10.0,infinite,6,0.032266319365499674
20260626,7.5,10.0,infinite,7,0.01690244069821862
20260626,7.5,10.0,infinite,8,0.007264660522555318
20260626,7.5,10.0,infinite,9,0.002508704344129704
20260626,7.5,10.0,infinite,10,0.002369295823487363
20260626,7.5,10.0,infinite,11,0.004419737700551778
20260626,7.5,10.0,infinite,12,0.0006954755663007361
